Algoritma,Split,Accuracy,F1_Score,Precision,Recall,Egitim_s,Tahmin_s
DecisionTree,70_30,0.9988,0.9988,0.9988,0.9988,0.04,0.0008
GradientBoosting,70_30,0.9988,0.9988,0.9988,0.9988,12.02,0.0138
RandomForest,70_30,0.9986,0.9986,0.9986,0.9986,0.3,0.0613
XGBoost,70_30,0.9984,0.9984,0.9984,0.9984,2.64,0.0084
ExtraTrees,70_30,0.9984,0.9984,0.9984,0.9984,0.18,0.0453
DecisionTree,80_20,0.9982,0.9982,0.9982,0.9982,0.02,0.0005
GradientBoosting,80_20,0.9982,0.9982,0.9982,0.9982,10.37,0.0079
ExtraTrees,80_20,0.9979,0.9979,0.9979,0.9979,0.11,0.0269
RandomForest,80_20,0.9979,0.9979,0.9979,0.9979,0.15,0.0274
MLP,70_30,0.998,0.9979,0.998,0.998,1.75,0.0039
XGBoost,80_20,0.9979,0.9979,0.9979,0.9979,0.58,0.0039
KNN,70_30,0.9974,0.9973,0.9973,0.9974,0.0,2.2894
MLP,80_20,0.9973,0.9972,0.9973,0.9973,2.0,0.0029
SVM,70_30,0.997,0.9969,0.9969,0.997,0.82,0.0005
SVM,80_20,0.997,0.9969,0.997,0.997,0.45,0.0005
KNN,80_20,0.9963,0.9963,0.9963,0.9963,0.0,0.037
NaiveBayes,70_30,0.9866,0.9853,0.9863,0.9866,0.01,0.0095
NaiveBayes,80_20,0.986,0.9849,0.9854,0.986,0.0,0.0012
